in:Item number,out:Length,out:Height,out:MCI,out:Virgin content,out:Recycled content,out:Recyclable content,out:Reusable content,out:Unrecoverable waste,out:CO2,out:Cost/yr,out:Life,out:Uvalue,img,threeD
0,900,1800,0.65117,0.277059,0.722941,0.771596,0.228404,161.300017,2305.775836,1945.16379,39,1.997337,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber0_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber0.json
1,1500,1400,0.621761,0.793072,0.206928,0.060024,0.939976,32.485328,3671.695129,2203.039242,45,1.721488,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber1_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber1.json
2,1800,1900,0.608012,0.637415,0.362585,0.049623,0.950377,89.508685,5160.668993,3296.033409,36,2.434021,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber2_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber2.json
3,800,1800,0.580213,0.317008,0.682992,0.757624,0.242376,139.324219,2166.435644,1761.573368,29,3.043208,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber3_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber3.json
4,1300,1900,0.509653,0.806304,0.193696,0.186948,0.813052,35.027207,4662.693911,2436.927379,30,2.815038,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber4_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber4.json
5,800,1700,0.652288,0.186614,0.813386,0.926317,0.073683,147.26054,2002.030574,1569.223168,35,2.365565,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber5_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber5.json
6,900,1400,0.629222,0.631033,0.368967,0.247423,0.752577,36.10251,2215.105307,1319.87783,40,2.208168,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber6_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber6.json
7,1900,1200,0.449195,0.796666,0.203334,0.194427,0.805573,33.6703,4318.753197,2265.175678,25,3.387725,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber7_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber7.json
8,1000,1600,0.53708,0.382315,0.617685,0.932379,0.067621,137.619041,3048.953137,1740.91333,27,1.702533,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber8_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber8.json
9,1100,1200,0.596266,0.499659,0.500341,0.239671,0.760329,58.061542,1825.473473,1427.229315,30,2.784911,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber9_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber9.json
